CNPJ;RazaoSocial;Trimestre;Ano;ValorDespesas;CNPJ_Valido;RegistroANS;Modalidade;UF
00111826000128;UNIMED ARARUAMA COOPERATIVA DE TRABALHO MÉDICO LTDA;1T;2025;250734.00;True;335215;Cooperativa Médica;RJ
00111826000128;UNIMED ARARUAMA COOPERATIVA DE TRABALHO MÉDICO LTDA;2T;2025;69022221.00;True;335215;Cooperativa Médica;RJ
00111826000128;UNIMED ARARUAMA COOPERATIVA DE TRABALHO MÉDICO LTDA;3T;2025;846076.00;True;335215;Cooperativa Médica;RJ
00147571000153;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BAURU;1T;2025;1448186.00;True;406945;Autogestão;SP
00147571000153;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BAURU;2T;2025;171648.00;True;406945;Autogestão;SP
00147571000153;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BAURU;3T;2025;323473.00;True;406945;Autogestão;SP
00172586000171;UNIODONTO DE PRESIDENTE PRUDENTE COOPERATIVA ODONTOLOGICA;1T;2025;182972.00;True;336017;Cooperativa odontológica;SP
00172586000171;UNIODONTO DE PRESIDENTE PRUDENTE COOPERATIVA ODONTOLOGICA;2T;2025;63590.00;True;336017;Cooperativa odontológica;SP
00172586000171;UNIODONTO DE PRESIDENTE PRUDENTE COOPERATIVA ODONTOLOGICA;3T;2025;3359711.00;True;336017;Cooperativa odontológica;SP
00200720000109;ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS);1T;2025;43025.00;True;410608;Autogestão;SP
00200720000109;ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS);2T;2025;205715.00;True;410608;Autogestão;SP
00200720000109;ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS);3T;2025;76249.00;True;410608;Autogestão;SP
00262338000111;UNIMED DE ADAMANTINA-COOPERATIVA DE TRABALHO MÉDICO;1T;2025;52296.00;True;311944;Cooperativa Médica;SP
00262338000111;UNIMED DE ADAMANTINA-COOPERATIVA DE TRABALHO MÉDICO;2T;2025;82761.00;True;311944;Cooperativa Médica;SP
00262338000111;UNIMED DE ADAMANTINA-COOPERATIVA DE TRABALHO MÉDICO;3T;2025;967840.00;True;311944;Cooperativa Médica;SP
00299149000113;ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS;1T;2025;38197838.00;True;306754;Autogestão;GO
00299149000113;ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS;2T;2025;24175067.00;True;306754;Autogestão;GO
00299149000113;ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS;3T;2025;25440.00;True;306754;Autogestão;GO
00304148000110;FUNDAÇÃO DE SAÚDE ITAIGUAPY;1T;2025;10331.00;True;311359;Medicina de Grupo;PR
00304148000110;FUNDAÇÃO DE SAÚDE ITAIGUAPY;2T;2025;30218.00;True;311359;Medicina de Grupo;PR
00304148000110;FUNDAÇÃO DE SAÚDE ITAIGUAPY;3T;2025;725884.00;True;311359;Medicina de Grupo;PR
00307714000147;ASSOCIAÇÃO VALEPARAIBANA DE ASSISTÊNCIA MÉDICA POLICIAL;1T;2025;535521.00;True;412635;Autogestão;SP
00307714000147;ASSOCIAÇÃO VALEPARAIBANA DE ASSISTÊNCIA MÉDICA POLICIAL;3T;2025;865111.00;True;412635;Autogestão;SP
00338763000147;PLENA SAÚDE S.A.;1T;2025;2197608.00;True;348830;Medicina de Grupo;SP
00338763000147;PLENA SAÚDE S.A.;2T;2025;2581845.00;True;348830;Medicina de Grupo;SP
00338763000147;PLENA SAÚDE S.A.;3T;2025;3316621.00;True;348830;Medicina de Grupo;SP
00342481000113;UNIMED CALDAS NOVAS - COOPERATIVA DE TRABALHO MEDICO;1T;2025;23869.00;True;343765;Cooperativa Médica;GO
00342481000113;UNIMED CALDAS NOVAS - COOPERATIVA DE TRABALHO MEDICO;2T;2025;60929.00;True;343765;Cooperativa Médica;GO
00342481000113;UNIMED CALDAS NOVAS - COOPERATIVA DE TRABALHO MEDICO;3T;2025;21949732.00;True;343765;Cooperativa Médica;GO
00361325000108;HUMANA SAÚDE NORDESTE LTDA. ;1T;2025;5791513.00;True;357511;Medicina de Grupo;PI
00361325000108;HUMANA SAÚDE NORDESTE LTDA. ;2T;2025;56527.00;True;357511;Medicina de Grupo;PI
00361325000108;HUMANA SAÚDE NORDESTE LTDA. ;3T;2025;67908.00;True;357511;Medicina de Grupo;PI
00366982000130;CENTRAL REGIONAL DAS COOPERATIVAS MÉDICAS - UNIMED CERRADO;1T;2025;87780.00;True;386596;Cooperativa Médica;GO
00366982000130;CENTRAL REGIONAL DAS COOPERATIVAS MÉDICAS - UNIMED CERRADO;2T;2025;513193.00;True;386596;Cooperativa Médica;GO
00366982000130;CENTRAL REGIONAL DAS COOPERATIVAS MÉDICAS - UNIMED CERRADO;3T;2025;12597740.00;True;386596;Cooperativa Médica;GO
00368318000120;UNIMED MARQUES DE VALENÇA COOPERATIVA DE TRABALHO MÉDICO LTDA.;1T;2025;17796904.00;True;321087;Cooperativa Médica;RJ
00368318000120;UNIMED MARQUES DE VALENÇA COOPERATIVA DE TRABALHO MÉDICO LTDA.;2T;2025;3351828.00;True;321087;Cooperativa Médica;RJ
00368318000120;UNIMED MARQUES DE VALENÇA COOPERATIVA DE TRABALHO MÉDICO LTDA.;3T;2025;10168681.00;True;321087;Cooperativa Médica;RJ
00381694000154;UNIMED ALTO VALE - COOPERATIVA DE TRABALHO MÉDICO;1T;2025;538945.00;True;372561;Cooperativa Médica;SC
00381694000154;UNIMED ALTO VALE - COOPERATIVA DE TRABALHO MÉDICO;2T;2025;524447.00;True;372561;Cooperativa Médica;SC
00381694000154;UNIMED ALTO VALE - COOPERATIVA DE TRABALHO MÉDICO;3T;2025;68541548.00;True;372561;Cooperativa Médica;SC
00395266000180;MAIS SAÚDE PLANO DE SAÚDE LTDA;1T;2025;196681.00;True;415065;Medicina de Grupo;GO
00395266000180;MAIS SAÚDE PLANO DE SAÚDE LTDA;2T;2025;27060.00;True;415065;Medicina de Grupo;GO
00395266000180;MAIS SAÚDE PLANO DE SAÚDE LTDA;3T;2025;27060.00;True;415065;Medicina de Grupo;GO
00444803000135;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE;1T;2025;90007.00;True;409413;Autogestão;SP
00444803000135;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE;2T;2025;27094286.00;True;409413;Autogestão;SP
00444803000135;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE;3T;2025;309551.00;True;409413;Autogestão;SP
00453863000114;MED-TOUR ADMINISTRADORA DE BENEFÍCIOS E EMPREENDIMENTOS LTDA.;1T;2025;14122273.00;True;328537;Medicina de Grupo;SP
00453863000114;MED-TOUR ADMINISTRADORA DE BENEFÍCIOS E EMPREENDIMENTOS LTDA.;2T;2025;18627891.00;True;328537;Medicina de Grupo;SP
00453863000114;MED-TOUR ADMINISTRADORA DE BENEFÍCIOS E EMPREENDIMENTOS LTDA.;3T;2025;2155329.00;True;328537;Medicina de Grupo;SP
00461479000163;PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA;1T;2025;151158281.00;True;302147;Medicina de Grupo;SP
00461479000163;PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA;2T;2025;932561933.00;True;302147;Medicina de Grupo;SP
00461479000163;PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA;3T;2025;8086186.00;True;302147;Medicina de Grupo;SP
00494870000164;UNIMED DE IBITINGA COOPERATIVA DE TRABALHO MÉDICO;1T;2025;224983.00;True;365238;Cooperativa Médica;SP
00494870000164;UNIMED DE IBITINGA COOPERATIVA DE TRABALHO MÉDICO;2T;2025;30844.00;True;365238;Cooperativa Médica;SP
00494870000164;UNIMED DE IBITINGA COOPERATIVA DE TRABALHO MÉDICO;3T;2025;65930.00;True;365238;Cooperativa Médica;SP
00531736000196;UNIODONTO JACAREÍ COOPERATIVA ODONTOLÓGICA;1T;2025;1077095.00;True;343056;Cooperativa odontológica;SP
00531736000196;UNIODONTO JACAREÍ COOPERATIVA ODONTOLÓGICA;2T;2025;96846.00;True;343056;Cooperativa odontológica;SP
00531736000196;UNIODONTO JACAREÍ COOPERATIVA ODONTOLÓGICA;3T;2025;131458.00;True;343056;Cooperativa odontológica;SP
00532888000103;UNIMED REGIÃO DA PRODUÇÃO/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA;1T;2025;450167.00;True;353698;Cooperativa Médica;RS
00532888000103;UNIMED REGIÃO DA PRODUÇÃO/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA;2T;2025;1368491.00;True;353698;Cooperativa Médica;RS
00532888000103;UNIMED REGIÃO DA PRODUÇÃO/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA;3T;2025;453619.00;True;353698;Cooperativa Médica;RS
00552181000169;UNIMED DE MOCOCA COOPERATIVA DE TRAB. MÉDICO;1T;2025;656599.00;True;328308;Cooperativa Médica;SP
00552181000169;UNIMED DE MOCOCA COOPERATIVA DE TRAB. MÉDICO;2T;2025;8471476.00;True;328308;Cooperativa Médica;SP
00552181000169;UNIMED DE MOCOCA COOPERATIVA DE TRAB. MÉDICO;3T;2025;3174658.00;True;328308;Cooperativa Médica;SP
00571628000147;DENTAL PLUS CONVÊNIO ODONTOLÓGICO LTDA.;1T;2025;200498.00;True;314366;Odontologia de Grupo;SP
00571628000147;DENTAL PLUS CONVÊNIO ODONTOLÓGICO LTDA.;2T;2025;448626.00;True;314366;Odontologia de Grupo;SP
00571628000147;DENTAL PLUS CONVÊNIO ODONTOLÓGICO LTDA.;3T;2025;111757.00;True;314366;Odontologia de Grupo;SP
00580481000151;FUNDACAO CAPITAL PREVIDENCIA E SAUDE - CAPITAL PREV;2T;2025;470560.00;True;329665;Autogestão;ES
00580481000151;FUNDACAO CAPITAL PREVIDENCIA E SAUDE - CAPITAL PREV;3T;2025;535752.00;True;329665;Autogestão;ES
00628107000189;FUNDAÇÃO ASSISTENCIAL DOS SERVIDORES DO MINISTÉRIO DA FAZENDA;1T;2025;13800.00;True;346926;Autogestão;DF
00628107000189;FUNDAÇÃO ASSISTENCIAL DOS SERVIDORES DO MINISTÉRIO DA FAZENDA;2T;2025;885781040.00;True;346926;Autogestão;DF
00628107000189;FUNDAÇÃO ASSISTENCIAL DOS SERVIDORES DO MINISTÉRIO DA FAZENDA;3T;2025;172400708.00;True;346926;Autogestão;DF
00636975000100;SÃO DOMINGOS SAÚDE- ASSISTÊNCIA MÉDICA  LTDA;1T;2025;1019192.00;True;319180;Medicina de Grupo;SP
00636975000100;SÃO DOMINGOS SAÚDE- ASSISTÊNCIA MÉDICA  LTDA;2T;2025;357220.00;True;319180;Medicina de Grupo;SP
00636975000100;SÃO DOMINGOS SAÚDE- ASSISTÊNCIA MÉDICA  LTDA;3T;2025;1106955.00;True;319180;Medicina de Grupo;SP
00642842000147;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE - VALE DO RIBEIRA;1T;2025;126359.00;True;409405;Autogestão;SP
00642842000147;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE - VALE DO RIBEIRA;2T;2025;106699.00;True;409405;Autogestão;SP
00642842000147;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE - VALE DO RIBEIRA;3T;2025;2384014.00;True;409405;Autogestão;SP
00648506000101;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE PRESIDENTE VENCESLAU;1T;2025;33972.00;True;411248;Autogestão;SP
00648506000101;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE PRESIDENTE VENCESLAU;2T;2025;96309.00;True;411248;Autogestão;SP
00648506000101;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE PRESIDENTE VENCESLAU;3T;2025;105988.00;True;411248;Autogestão;SP
00660903000107;FUNDAÇÃO AFFEMG DE ASSISTÊNCIA E SAÚDE - FUNDAFFEMG;1T;2025;45189.00;True;315567;Autogestão;MG
00660903000107;FUNDAÇÃO AFFEMG DE ASSISTÊNCIA E SAÚDE - FUNDAFFEMG;2T;2025;2547625.00;True;315567;Autogestão;MG
00660903000107;FUNDAÇÃO AFFEMG DE ASSISTÊNCIA E SAÚDE - FUNDAFFEMG;3T;2025;103539.00;True;315567;Autogestão;MG
00665690000106;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE DRACENA;1T;2025;83058.00;True;408026;Autogestão;SP
00665690000106;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE DRACENA;2T;2025;6920437.00;True;408026;Autogestão;SP
00665690000106;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE DRACENA;3T;2025;95842.00;True;408026;Autogestão;SP
00668790000188;CAIXA DE ASSISTÊNCIA SISTEMA SAÚDE INTEGRAL-SSI SAUDE;1T;2025;35906.00;True;320820;Autogestão;RS
00668790000188;CAIXA DE ASSISTÊNCIA SISTEMA SAÚDE INTEGRAL-SSI SAUDE;2T;2025;128255.00;True;320820;Autogestão;RS
00668790000188;CAIXA DE ASSISTÊNCIA SISTEMA SAÚDE INTEGRAL-SSI SAUDE;3T;2025;4328815.00;True;320820;Autogestão;RS
00697509000135;UNIMED CENTRO RONDÔNIA COOPERATIVA DE TRABALHO MÉDICO;1T;2025;57705.00;True;347507;Cooperativa Médica;RO
00697509000135;UNIMED CENTRO RONDÔNIA COOPERATIVA DE TRABALHO MÉDICO;2T;2025;622326.00;True;347507;Cooperativa Médica;RO
00697509000135;UNIMED CENTRO RONDÔNIA COOPERATIVA DE TRABALHO MÉDICO;3T;2025;15004164.00;True;347507;Cooperativa Médica;RO
00730439000170;UNIMED PONTAL DO TRIÂNGULO - COOPERATIVA DE TRABALHO MÉDICO;1T;2025;671239.00;True;353876;Cooperativa Médica;MG
00730439000170;UNIMED PONTAL DO TRIÂNGULO - COOPERATIVA DE TRABALHO MÉDICO;2T;2025;353352.00;True;353876;Cooperativa Médica;MG
00730439000170;UNIMED PONTAL DO TRIÂNGULO - COOPERATIVA DE TRABALHO MÉDICO;3T;2025;331632.00;True;353876;Cooperativa Médica;MG
00747041000146;UNIMED VALE DO CORUMBÁ COOPERATIVA DE TRABALHO MEDICO;1T;2025;56757.00;True;302228;Cooperativa Médica;GO
00747041000146;UNIMED VALE DO CORUMBÁ COOPERATIVA DE TRABALHO MEDICO;2T;2025;125896.00;True;302228;Cooperativa Médica;GO
00747041000146;UNIMED VALE DO CORUMBÁ COOPERATIVA DE TRABALHO MEDICO;3T;2025;386168.00;True;302228;Cooperativa Médica;GO
00763923000103;UNIMED ALTO PARANAIBA COOPERATIVA DE TRABALHO MEDICO;1T;2025;241600.00;True;341819;Cooperativa Médica;MG
00763923000103;UNIMED ALTO PARANAIBA COOPERATIVA DE TRABALHO MEDICO;2T;2025;54760.00;True;341819;Cooperativa Médica;MG
00763923000103;UNIMED ALTO PARANAIBA COOPERATIVA DE TRABALHO MEDICO;3T;2025;910912.00;True;341819;Cooperativa Médica;MG
00773639000100;CENTRO CLÍNICO GAÚCHO LTDA;1T;2025;4665233.00;True;392804;Medicina de Grupo;CE
00773639000100;CENTRO CLÍNICO GAÚCHO LTDA;2T;2025;5932610.00;True;392804;Medicina de Grupo;CE
00773639000100;CENTRO CLÍNICO GAÚCHO LTDA;3T;2025;49400.00;True;392804;Medicina de Grupo;CE
00826676000139;UNIODONTO DE SERTAOZINHO SP COOPERATIVA ODONTOLOGICA;2T;2025;524749.00;True;373109;Cooperativa odontológica;SP
00826676000139;UNIODONTO DE SERTAOZINHO SP COOPERATIVA ODONTOLOGICA;3T;2025;337778.00;True;373109;Cooperativa odontológica;SP
00840048000108;UNIMED DE PIRASSUNUNGA COOPERATIVA DE TRABALHO MÉDICO;1T;2025;76080.00;True;314242;Cooperativa Médica;SP
00840048000108;UNIMED DE PIRASSUNUNGA COOPERATIVA DE TRABALHO MÉDICO;2T;2025;5220255.00;True;314242;Cooperativa Médica;SP
00840048000108;UNIMED DE PIRASSUNUNGA COOPERATIVA DE TRABALHO MÉDICO;3T;2025;68500.00;True;314242;Cooperativa Médica;SP
00841848000143;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE APAS;1T;2025;51364.00;True;423203;Autogestão;SP
00841848000143;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE APAS;2T;2025;367925.00;True;423203;Autogestão;SP
00841848000143;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE APAS;3T;2025;201465.00;True;423203;Autogestão;SP
00846662000187;LIV LINHAS INTELIGENTES DE ATENÇÃO À VIDA S/A;1T;2025;1222499.00;True;379280;Medicina de Grupo;SP
00846662000187;LIV LINHAS INTELIGENTES DE ATENÇÃO À VIDA S/A;2T;2025;1632019.00;True;379280;Medicina de Grupo;SP
00846662000187;LIV LINHAS INTELIGENTES DE ATENÇÃO À VIDA S/A;3T;2025;36526328.00;True;379280;Medicina de Grupo;SP
00856424000152;CARE PLUS ODONTOLOGIA ASSISTENCIAL LTDA.;1T;2025;74766.00;True;389358;Odontologia de Grupo;SP
00856424000152;CARE PLUS ODONTOLOGIA ASSISTENCIAL LTDA.;2T;2025;713501.00;True;389358;Odontologia de Grupo;SP
00856424000152;CARE PLUS ODONTOLOGIA ASSISTENCIAL LTDA.;3T;2025;135806.00;True;389358;Odontologia de Grupo;SP
00885918000165;HOSPITAIS E CLÍNICAS DO PIAUÍ S/S LTDA;1T;2025;47798917.00;True;416398;Medicina de Grupo;PI
00885918000165;HOSPITAIS E CLÍNICAS DO PIAUÍ S/S LTDA;2T;2025;316445.00;True;416398;Medicina de Grupo;PI
00885918000165;HOSPITAIS E CLÍNICAS DO PIAUÍ S/S LTDA;3T;2025;1748.00;True;416398;Medicina de Grupo;PI
00891689000191;UNIODONTO GOIANIA COOPERATIVA DE CIRURGIÕES DENTISTAS;1T;2025;682627.00;True;358436;Cooperativa odontológica;GO
00891689000191;UNIODONTO GOIANIA COOPERATIVA DE CIRURGIÕES DENTISTAS;2T;2025;47730.00;True;358436;Cooperativa odontológica;GO
00891689000191;UNIODONTO GOIANIA COOPERATIVA DE CIRURGIÕES DENTISTAS;3T;2025;534538.00;True;358436;Cooperativa odontológica;GO
00946953000147;UNIMED TRÊS RIOS COOPERATIVA DE TRABALHO MÉDICO;1T;2025;776642.00;True;337498;Cooperativa Médica;RJ
00946953000147;UNIMED TRÊS RIOS COOPERATIVA DE TRABALHO MÉDICO;2T;2025;705526.00;True;337498;Cooperativa Médica;RJ
00946953000147;UNIMED TRÊS RIOS COOPERATIVA DE TRABALHO MÉDICO;3T;2025;845276.00;True;337498;Cooperativa Médica;RJ
00950062000164;CENTRO HOSPITALAR ATIBAIA LTDA.;1T;2025;521845.00;True;350699;Medicina de Grupo;SP
00950062000164;CENTRO HOSPITALAR ATIBAIA LTDA.;2T;2025;1333560.00;True;350699;Medicina de Grupo;SP
00950062000164;CENTRO HOSPITALAR ATIBAIA LTDA.;3T;2025;1720359.00;True;350699;Medicina de Grupo;SP
01012474000116;UNIMED PONTE NOVA COOPERATIVA DE TRABALHO MEDICO LTDA;1T;2025;63500.00;True;343722;Cooperativa Médica;MG
01012474000116;UNIMED PONTE NOVA COOPERATIVA DE TRABALHO MEDICO LTDA;2T;2025;178030.00;True;343722;Cooperativa Médica;MG
01012474000116;UNIMED PONTE NOVA COOPERATIVA DE TRABALHO MEDICO LTDA;3T;2025;1743796.00;True;343722;Cooperativa Médica;MG
01052203000194;CAIXA ASSISTENCIAL UNIVERSITARIA DO RIO DE JANEIRO;1T;2025;88238.00;True;347825;Autogestão;RJ
01052203000194;CAIXA ASSISTENCIAL UNIVERSITARIA DO RIO DE JANEIRO;2T;2025;173638.00;True;347825;Autogestão;RJ
01052203000194;CAIXA ASSISTENCIAL UNIVERSITARIA DO RIO DE JANEIRO;3T;2025;6425.00;True;347825;Autogestão;RJ
01143922000110;UNIMED CACERES COOPERATIVA DE TRABALHO MÉDICO ;1T;2025;2736148.00;True;350346;Cooperativa Médica;MT
01143922000110;UNIMED CACERES COOPERATIVA DE TRABALHO MÉDICO ;2T;2025;1610187.00;True;350346;Cooperativa Médica;MT
01143922000110;UNIMED CACERES COOPERATIVA DE TRABALHO MÉDICO ;3T;2025;3311220.00;True;350346;Cooperativa Médica;MT
01193663000132;UNIMED DE CATALÃO COOPERATIVA DE TRABALHO MÉDICO;1T;2025;100874.00;True;324566;Cooperativa Médica;GO
01193663000132;UNIMED DE CATALÃO COOPERATIVA DE TRABALHO MÉDICO;2T;2025;207005.00;True;324566;Cooperativa Médica;GO
01193663000132;UNIMED DE CATALÃO COOPERATIVA DE TRABALHO MÉDICO;3T;2025;19027900.00;True;324566;Cooperativa Médica;GO
01356020000162;UNIMED MEIO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO;1T;2025;1284980.00;True;301744;Cooperativa Médica;SC
01356020000162;UNIMED MEIO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO;2T;2025;10123056.00;True;301744;Cooperativa Médica;SC
01356020000162;UNIMED MEIO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO;3T;2025;534347.00;True;301744;Cooperativa Médica;SC
01367538000100;UNIODONTO MARINGA COOPERATIVA ODONTOLOGICA;1T;2025;268287.00;True;381144;Cooperativa odontológica;PR
01367538000100;UNIODONTO MARINGA COOPERATIVA ODONTOLOGICA;2T;2025;84769.00;True;381144;Cooperativa odontológica;PR
01367538000100;UNIODONTO MARINGA COOPERATIVA ODONTOLOGICA;3T;2025;45750.00;True;381144;Cooperativa odontológica;PR
01371135000126;UNIMED VALE DO URUCUIA - COOPERATIVA DE TRABALHO MEDICO LTDA;1T;2025;47303.00;True;311057;Cooperativa Médica;MG
01371135000126;UNIMED VALE DO URUCUIA - COOPERATIVA DE TRABALHO MEDICO LTDA;2T;2025;895600.00;True;311057;Cooperativa Médica;MG
01371135000126;UNIMED VALE DO URUCUIA - COOPERATIVA DE TRABALHO MEDICO LTDA;3T;2025;77415.00;True;311057;Cooperativa Médica;MG
01387625000110;DOCTOR CLIN OPERADORA DE PLANOS DE SAÚDE LTDA.;1T;2025;64012967.00;True;349682;Medicina de Grupo;RS
01387625000110;DOCTOR CLIN OPERADORA DE PLANOS DE SAÚDE LTDA.;2T;2025;3793876.00;True;349682;Medicina de Grupo;RS
01387625000110;DOCTOR CLIN OPERADORA DE PLANOS DE SAÚDE LTDA.;3T;2025;123476.00;True;349682;Medicina de Grupo;RS
01402285000150;DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.;1T;2025;304948.00;True;300730;Odontologia de Grupo;PB
01402285000150;DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.;2T;2025;3514291.00;True;300730;Odontologia de Grupo;PB
01402285000150;DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.;3T;2025;11394.00;True;300730;Odontologia de Grupo;PB
01445199000124;UNIHOSP SAÚDE LTDA;1T;2025;20000.00;True;385255;Medicina de Grupo;SP
01445199000124;UNIHOSP SAÚDE LTDA;2T;2025;20000.00;True;385255;Medicina de Grupo;SP
01445199000124;UNIHOSP SAÚDE LTDA;3T;2025;11497412.00;True;385255;Medicina de Grupo;SP
01476619000130;UNIMED GURUPI COOPERATIVA DE TRABALHO MÉDICO;1T;2025;611866.00;True;301124;Cooperativa Médica;TO
01476619000130;UNIMED GURUPI COOPERATIVA DE TRABALHO MÉDICO;2T;2025;25969959.00;True;301124;Cooperativa Médica;TO
01476619000130;UNIMED GURUPI COOPERATIVA DE TRABALHO MÉDICO;3T;2025;28312324.00;True;301124;Cooperativa Médica;TO
01554266000149;UNIMED DE BRUSQUE COOPERATIVA DE TRABALHO MÉDICO;1T;2025;456792.00;True;348244;Cooperativa Médica;SC
01554266000149;UNIMED DE BRUSQUE COOPERATIVA DE TRABALHO MÉDICO;2T;2025;279488.00;True;348244;Cooperativa Médica;SC
01554266000149;UNIMED DE BRUSQUE COOPERATIVA DE TRABALHO MÉDICO;3T;2025;742857.00;True;348244;Cooperativa Médica;SC
01559455000104;UNIMED NORDESTE PAULISTA - FED. INTRAFEDERATIVA DAS COOP. MÉDICAS;1T;2025;15889.00;True;328294;Cooperativa Médica;SP
01559455000104;UNIMED NORDESTE PAULISTA - FED. INTRAFEDERATIVA DAS COOP. MÉDICAS;2T;2025;225495.00;True;328294;Cooperativa Médica;SP
01559455000104;UNIMED NORDESTE PAULISTA - FED. INTRAFEDERATIVA DAS COOP. MÉDICAS;3T;2025;6872271.00;True;328294;Cooperativa Médica;SP
01569902000106;UNIMED CAÇADOR COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO DO CONTESTADO;1T;2025;265893.00;True;346951;Cooperativa Médica;SC
01569902000106;UNIMED CAÇADOR COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO DO CONTESTADO;2T;2025;687386.00;True;346951;Cooperativa Médica;SC
01569902000106;UNIMED CAÇADOR COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO DO CONTESTADO;3T;2025;8055408.00;True;346951;Cooperativa Médica;SC
